feature,importance
City_Chicago,0.000545861227635838
County_East Baton Rouge,0.0005262713438818607
County_Travis,0.0005213170205229391
Wind_Direction_Variable,0.0004911000748623343
County_Broward,0.0004793713860035505
State_DE,0.0004695964187965608
City_Portland,0.00046534676876411725
City_Raleigh,0.0004573233046064835
Wind_Direction_East,0.0004567806252591523
City_Jacksonville,0.0004503764785602344
County_Wayne,0.00043829381577160736
County_San Bernardino,0.0004346352028095002
City_Austin,0.00043381320995288376
County_Marion,0.00043270100894068594
County_Sacramento,0.00041508394189675076
County_Lake,0.0003810835131295914
City_Oklahoma City,0.0003742141294781595
County_Riverside,0.00036210463663817266
County_San Diego,0.0003526261770577293
City_Denver,0.0003413029053490789
City_Phoenix,0.0003346844416074104
County_Greenville,0.0002865630497091691
City_Columbia,0.00028491414920322604
State_KY,0.00027876221593184044
City_San Antonio,0.00026507553481756234
City_Sacramento,0.0002637127488872162
City_Saint Paul,0.0002274304597218405
City_Seattle,0.00022708706050358798
City_San Diego,0.00020219900788889675
City_Indianapolis,0.0001996080914436571
County_Hennepin,0.0001982957448248653
State_RI,0.00017404269669954879
City_Fort Lauderdale,0.00016932280543602852
State_MT,0.00016681661271809382
State_IA,0.00016291582556934847
State_KS,0.00015876628723407335
State_NM,0.0001374360224701595
City_Minneapolis,0.00013713287497088046
State_NE,0.00013396921521826569
City_Greenville,0.00013031784188243553
State_MS,0.00011970440669134356
State_ID,0.00011256775914384092
State_NV,0.00011241057623299698
State_DC,7.120064964656951e-05
State_WY,5.9457845592723483e-05
No_Exit,4.615676055750432e-05
State_WV,3.3116964181092015e-05
State_NH,2.6184801960151663e-05
Traffic_Calming,1.345897679647995e-05
State_ME,3.013168011109375e-06
State_ND,1.4451042322597622e-06
Roundabout,0.0
Turning_Loop,0.0
Bump,0.0
State_SD,0.0
State_VT,0.0
